age;education;default;housing;loan;previously_contacted;balance_negative;balance_log;converted;job_blue-collar;job_entrepreneur;job_housemaid;job_management;job_retired;job_self-employed;job_services;job_student;job_technician;job_unemployed;job_unknown;marital_married;marital_single
58;2;0;1;0;0;0;7.670428522190693;0;False;False;False;True;False;False;False;False;False;False;False;True;False
44;1;0;1;0;0;0;3.4011973816621555;0;False;False;False;False;False;False;False;False;True;False;False;False;True
33;1;0;1;1;0;0;1.0986122886681098;0;False;True;False;False;False;False;False;False;False;False;False;True;False
47;-1;0;1;0;0;0;7.317876198626496;0;True;False;False;False;False;False;False;False;False;False;False;True;False
33;-1;0;0;0;0;0;0.6931471805599453;0;False;False;False;False;False;False;False;False;False;False;True;False;True
35;2;0;1;0;0;0;5.44673737166631;0;False;False;False;True;False;False;False;False;False;False;False;True;False
28;2;0;1;1;0;0;6.104793232414985;0;False;False;False;True;False;False;False;False;False;False;False;False;True
42;2;1;1;0;0;0;1.0986122886681098;0;False;True;False;False;False;False;False;False;False;False;False;False;False
58;0;0;1;0;0;0;4.804021044733257;0;False;False;False;False;True;False;False;False;False;False;False;True;False
43;1;0;1;0;0;0;6.386879319362645;0;False;False;False;False;False;False;False;False;True;False;False;False;True
41;1;0;1;0;0;0;5.602118820879701;0;False;False;False;False;False;False;False;False;False;False;False;False;False
29;1;0;1;0;0;0;5.968707559985366;0;False;False;False;False;False;False;False;False;False;False;False;False;True
53;1;0;1;0;0;0;1.9459101490553132;0;False;False;False;False;False;False;False;False;True;False;False;True;False
58;-1;0;1;0;0;0;4.276666119016055;0;False;False;False;False;False;False;False;False;True;False;False;True;False
57;1;0;1;0;0;0;5.093750200806762;0;False;False;False;False;False;False;True;False;False;False;False;True;False
51;0;0;1;0;0;0;5.438079308923196;0;False;False;False;False;True;False;False;False;False;False;False;True;False
45;-1;0;1;0;0;0;2.6390573296152584;0;False;False;False;False;False;False;False;False;False;False;False;False;True
57;0;0;1;0;0;0;3.970291913552122;0;True;False;False;False;False;False;False;False;False;False;False;True;False
60;0;0;1;0;0;0;4.110873864173311;0;False;False;False;False;True;False;False;False;False;False;False;True;False
33;1;0;1;0;0;0;0.0;0;False;False;False;False;False;False;True;False;False;False;False;True;False
28;1;0;1;1;0;0;6.584791392385716;0;True;False;False;False;False;False;False;False;False;False;False;True;False
56;2;0;1;0;0;0;6.659293919683638;0;False;False;False;True;False;False;False;False;False;False;False;True;False
32;0;0;1;1;0;0;3.1780538303479458;0;True;False;False;False;False;False;False;False;False;False;False;False;True
25;1;0;1;0;0;0;3.9318256327243257;0;False;False;False;False;False;False;True;False;False;False;False;True;False
40;0;0;1;1;0;0;0.0;0;False;False;False;False;True;False;False;False;False;False;False;True;False
44;1;0;1;0;0;1;-5.921578419643816;0;False;False;False;False;False;False;False;False;False;False;False;True;False
39;2;0;1;0;0;0;5.545177444479562;0;False;False;False;True;False;False;False;False;False;False;False;False;True
52;1;0;1;1;0;0;4.736198448394496;0;False;True;False;False;False;False;False;False;False;False;False;True;False
46;1;0;1;0;0;1;-5.5093883366279774;0;False;False;False;True;False;False;False;False;False;False;False;False;True
36;1;0;1;1;0;0;5.583496308781699;0;False;False;False;False;False;False;False;False;True;False;False;False;True
57;1;0;0;1;0;0;6.733401891837359;0;False;False;False;False;False;False;False;False;True;False;False;True;False
49;2;0;1;0;0;0;5.937536205082426;0;False;False;False;True;False;False;False;False;False;False;False;True;False
60;1;0;1;1;0;0;3.6888794541139363;0;False;False;False;False;False;False;False;False;False;False;False;True;False
59;1;0;1;0;0;0;0.0;0;True;False;False;False;False;False;False;False;False;False;False;True;False
51;2;0;1;0;0;0;9.27199975236291;0;False;False;False;True;False;False;False;False;False;False;False;True;False
57;1;0;1;0;0;0;4.1588830833596715;0;False;False;False;False;False;False;False;False;True;False;False;False;False
25;1;0;1;0;0;1;-2.0794415416798357;0;True;False;False;False;False;False;False;False;False;False;False;True;False
53;1;0;0;0;0;1;-1.3862943611198906;0;False;False;False;False;False;False;False;False;True;False;False;True;False
36;1;0;1;0;0;0;6.2285110035911835;0;False;False;False;False;False;False;False;False;False;False;False;False;False
37;1;0;1;0;0;0;0.0;0;False;False;False;False;False;False;False;False;False;False;False;False;True
44;1;0;1;0;0;0;7.8582541821860294;0;False;False;False;False;False;False;True;False;False;False;False;False;False
50;1;0;1;0;0;0;3.912023005428146;0;False;False;False;True;False;False;False;False;False;False;False;True;False
60;-1;0;1;0;0;0;4.653960350157523;0;True;False;False;False;False;False;False;False;False;False;False;True;False
54;1;0;1;0;0;0;6.272877006546167;0;False;False;False;False;True;False;False;False;False;False;False;True;False
58;-1;0;1;0;0;0;4.574710978503383;0;False;False;False;False;True;False;False;False;False;False;False;True;False
36;0;0;1;0;0;1;-5.147494476813453;0;False;False;False;False;False;False;False;False;False;False;False;False;True
58;2;0;1;0;0;1;-5.8998973535824915;0;False;False;False;False;False;True;False;False;False;False;False;True;False
44;1;0;1;0;0;0;0.0;0;False;False;False;False;False;False;False;False;True;False;False;True;False
55;1;0;0;0;0;0;0.0;0;False;False;False;False;False;False;False;False;True;False;False;False;False
29;2;0;1;0;0;0;0.0;0;False;False;False;True;False;False;False;False;False;False;False;False;True
54;1;0;1;0;0;0;7.163946684342547;0;True;False;False;False;False;False;False;False;False;False;False;True;False
48;2;0;1;0;0;1;-5.501258210544727;0;False;False;False;True;False;False;False;False;False;False;False;False;False
32;2;0;1;0;0;0;0.0;0;False;False;False;True;False;False;False;False;False;False;False;True;False
42;1;0;1;0;0;1;-4.343805421853684;0;False;False;False;False;False;False;False;False;False;False;False;False;True
24;1;0;1;1;0;1;-4.6443908991413725;0;False;False;False;False;False;False;False;False;True;False;False;False;True
38;2;0;0;1;0;0;5.497168225293202;0;False;True;False;False;False;False;False;False;False;False;False;False;True
38;2;0;1;0;0;0;6.052089168924417;0;False;False;False;True;False;False;False;False;False;False;False;False;True
47;-1;0;1;0;0;0;5.726847747587197;0;True;False;False;False;False;False;False;False;False;False;False;True;False
40;-1;0;1;0;0;0;3.2188758248682006;0;True;False;False;False;False;False;False;False;False;False;False;False;True
46;0;0;1;0;0;0;5.19295685089021;0;False;False;False;False;False;False;True;False;False;False;False;True;False
32;2;0;1;0;0;0;0.0;0;False;False;False;False;False;False;False;False;False;False;False;True;False
