age,job,marital,education,balance,housing,loan,default,campaign,pdays,previous,poutcome,conversion
58,management,married,tertiary,2143,1,0,0,1,999,0,unknown,0
44,technician,single,secondary,29,1,0,0,1,999,0,unknown,0
33,entrepreneur,married,secondary,2,1,1,0,1,999,0,unknown,0
47,blue-collar,married,unknown,1506,1,0,0,1,999,0,unknown,0
33,unknown,single,unknown,1,0,0,0,1,999,0,unknown,0
35,management,married,tertiary,231,1,0,0,1,999,0,unknown,0
28,management,single,tertiary,447,1,1,0,1,999,0,unknown,0
42,entrepreneur,divorced,tertiary,2,1,0,1,1,999,0,unknown,0
58,retired,married,primary,121,1,0,0,1,999,0,unknown,0
43,technician,single,secondary,593,1,0,0,1,999,0,unknown,0
41,admin.,divorced,secondary,270,1,0,0,1,999,0,unknown,0
29,admin.,single,secondary,390,1,0,0,1,999,0,unknown,0
53,technician,married,secondary,6,1,0,0,1,999,0,unknown,0
58,technician,married,unknown,71,1,0,0,1,999,0,unknown,0
57,services,married,secondary,162,1,0,0,1,999,0,unknown,0
51,retired,married,primary,229,1,0,0,1,999,0,unknown,0
45,admin.,single,unknown,13,1,0,0,1,999,0,unknown,0
57,blue-collar,married,primary,52,1,0,0,1,999,0,unknown,0
60,retired,married,primary,60,1,0,0,1,999,0,unknown,0
33,services,married,secondary,0,1,0,0,1,999,0,unknown,0
28,blue-collar,married,secondary,723,1,1,0,1,999,0,unknown,0
56,management,married,tertiary,779,1,0,0,1,999,0,unknown,0
32,blue-collar,single,primary,23,1,1,0,1,999,0,unknown,0
25,services,married,secondary,50,1,0,0,1,999,0,unknown,0
40,retired,married,primary,0,1,1,0,1,999,0,unknown,0
44,admin.,married,secondary,-372,1,0,0,1,999,0,unknown,0
39,management,single,tertiary,255,1,0,0,1,999,0,unknown,0
52,entrepreneur,married,secondary,113,1,1,0,1,999,0,unknown,0
46,management,single,secondary,-246,1,0,0,2,999,0,unknown,0
36,technician,single,secondary,265,1,1,0,1,999,0,unknown,0
57,technician,married,secondary,839,0,1,0,1,999,0,unknown,0
49,management,married,tertiary,378,1,0,0,1,999,0,unknown,0
60,admin.,married,secondary,39,1,1,0,1,999,0,unknown,0
59,blue-collar,married,secondary,0,1,0,0,1,999,0,unknown,0
51,management,married,tertiary,10635,1,0,0,1,999,0,unknown,0
57,technician,divorced,secondary,63,1,0,0,1,999,0,unknown,0
25,blue-collar,married,secondary,-7,1,0,0,1,999,0,unknown,0
53,technician,married,secondary,-3,0,0,0,1,999,0,unknown,0
36,admin.,divorced,secondary,506,1,0,0,1,999,0,unknown,0
37,admin.,single,secondary,0,1,0,0,1,999,0,unknown,0
44,services,divorced,secondary,2586,1,0,0,1,999,0,unknown,0
50,management,married,secondary,49,1,0,0,2,999,0,unknown,0
60,blue-collar,married,unknown,104,1,0,0,1,999,0,unknown,0
54,retired,married,secondary,529,1,0,0,1,999,0,unknown,0
58,retired,married,unknown,96,1,0,0,1,999,0,unknown,0
36,admin.,single,primary,-171,1,0,0,1,999,0,unknown,0
58,self-employed,married,tertiary,-364,1,0,0,1,999,0,unknown,0
44,technician,married,secondary,0,1,0,0,2,999,0,unknown,0
55,technician,divorced,secondary,0,0,0,0,1,999,0,unknown,0
29,management,single,tertiary,0,1,0,0,1,999,0,unknown,0
54,blue-collar,married,secondary,1291,1,0,0,1,999,0,unknown,0
48,management,divorced,tertiary,-244,1,0,0,1,999,0,unknown,0
32,management,married,tertiary,0,1,0,0,1,999,0,unknown,0
42,admin.,single,secondary,-76,1,0,0,1,999,0,unknown,0
24,technician,single,secondary,-103,1,1,0,1,999,0,unknown,0
38,entrepreneur,single,tertiary,243,0,1,0,1,999,0,unknown,0
38,management,single,tertiary,424,1,0,0,1,999,0,unknown,0
47,blue-collar,married,unknown,306,1,0,0,1,999,0,unknown,0
40,blue-collar,single,unknown,24,1,0,0,1,999,0,unknown,0
46,services,married,primary,179,1,0,0,1,999,0,unknown,0
32,admin.,married,tertiary,0,1,0,0,1,999,0,unknown,0
53,technician,divorced,secondary,989,1,0,0,1,999,0,unknown,0
57,blue-collar,married,primary,249,1,0,0,1,999,0,unknown,0
33,services,married,secondary,790,1,0,0,1,999,0,unknown,0
49,blue-collar,married,unknown,154,1,0,0,1,999,0,unknown,0
51,management,married,tertiary,6530,1,0,0,1,999,0,unknown,0
60,retired,married,tertiary,100,0,0,0,1,999,0,unknown,0
59,management,divorced,tertiary,59,1,0,0,1,999,0,unknown,0
55,technician,married,secondary,1205,1,0,0,2,999,0,unknown,0
35,blue-collar,single,secondary,12223,1,1,0,1,999,0,unknown,0
57,blue-collar,married,secondary,5935,1,1,0,1,999,0,unknown,0
31,services,married,secondary,25,1,1,0,1,999,0,unknown,0
54,management,married,secondary,282,1,1,0,1,999,0,unknown,0
55,blue-collar,married,primary,23,1,0,0,1,999,0,unknown,0
43,technician,married,secondary,1937,1,0,0,1,999,0,unknown,0
53,technician,married,secondary,384,1,0,0,1,999,0,unknown,0
44,blue-collar,married,secondary,582,0,1,0,1,999,0,unknown,0
55,services,divorced,secondary,91,0,0,0,1,999,0,unknown,0
49,services,divorced,secondary,0,1,1,0,1,999,0,unknown,0
55,services,divorced,secondary,1,1,0,1,1,999,0,unknown,0
45,admin.,single,secondary,206,1,0,0,1,999,0,unknown,0
47,services,divorced,secondary,164,0,0,0,1,999,0,unknown,0
42,technician,single,secondary,690,1,0,0,1,999,0,unknown,0
59,admin.,married,secondary,2343,1,0,0,1,999,0,unknown,1
46,self-employed,married,tertiary,137,1,1,0,1,999,0,unknown,0
51,blue-collar,married,primary,173,1,0,0,2,999,0,unknown,0
56,admin.,married,secondary,45,0,0,0,1,999,0,unknown,1
41,technician,married,secondary,1270,1,0,0,1,999,0,unknown,1
46,management,divorced,secondary,16,1,1,0,2,999,0,unknown,0
57,retired,married,secondary,486,1,0,0,2,999,0,unknown,0
42,management,single,secondary,50,0,0,0,1,999,0,unknown,0
30,technician,married,secondary,152,1,1,0,2,999,0,unknown,0
60,admin.,married,secondary,290,1,0,0,1,999,0,unknown,0
60,blue-collar,married,unknown,54,1,0,0,1,999,0,unknown,0
57,entrepreneur,divorced,secondary,-37,0,0,0,1,999,0,unknown,0
36,management,married,tertiary,101,1,1,0,1,999,0,unknown,0
55,blue-collar,married,secondary,383,0,0,0,1,999,0,unknown,0
60,retired,married,tertiary,81,1,0,0,1,999,0,unknown,0
39,technician,married,secondary,0,1,0,0,1,999,0,unknown,0
46,management,married,tertiary,229,1,0,0,1,999,0,unknown,0
44,blue-collar,married,secondary,-674,1,0,0,1,999,0,unknown,0
53,blue-collar,married,primary,90,0,0,0,1,999,0,unknown,0
52,blue-collar,married,primary,128,1,0,0,1,999,0,unknown,0
59,blue-collar,married,primary,179,1,0,0,3,999,0,unknown,0
27,technician,single,tertiary,0,1,0,0,1,999,0,unknown,0
44,blue-collar,married,secondary,54,1,0,0,1,999,0,unknown,0
47,technician,married,tertiary,151,1,0,0,1,999,0,unknown,0
34,admin.,married,secondary,61,0,1,0,1,999,0,unknown,0
59,retired,single,secondary,30,1,0,0,1,999,0,unknown,0
45,management,married,tertiary,523,1,0,0,2,999,0,unknown,0
29,services,divorced,secondary,31,1,0,0,1,999,0,unknown,0
46,technician,divorced,secondary,79,0,0,0,1,999,0,unknown,0
56,self-employed,married,primary,-34,1,1,0,2,999,0,unknown,0
36,blue-collar,married,primary,448,1,0,0,1,999,0,unknown,0
59,retired,divorced,primary,81,1,0,0,1,999,0,unknown,0
44,blue-collar,married,secondary,144,1,0,0,2,999,0,unknown,0
41,admin.,married,secondary,351,1,0,0,1,999,0,unknown,0
33,management,single,tertiary,-67,1,0,0,1,999,0,unknown,0
59,management,divorced,tertiary,262,0,0,0,1,999,0,unknown,0
57,technician,married,primary,0,0,0,0,1,999,0,unknown,0
