cust_id,recency,customer_tenure_in_days,num_camp_success,response_last_campaign,webvisits,complain
1,58,665,0,1,7,0
2,38,115,0,0,5,0
3,26,314,0,0,4,0
4,26,141,0,0,6,0
5,94,163,0,0,5,0
6,16,295,0,0,6,0
7,34,595,0,0,6,0
8,32,419,0,0,8,0
9,19,390,0,1,9,0
10,68,110,1,0,20,0
11,59,595,0,0,8,0
12,82,228,0,0,2,0
13,53,228,0,0,6,0
14,38,629,0,0,8,0
15,23,584,2,1,3,0
16,51,554,0,0,8,0
17,20,669,0,0,7,0
18,91,460,1,0,5,0
19,86,605,0,0,6,0
20,41,692,0,0,8,0
21,42,541,0,0,1,0
22,63,555,1,0,8,0
23,0,171,0,0,4,0
24,69,470,0,0,8,0
25,89,545,0,0,7,0
26,4,400,0,0,7,0
27,26,396,0,0,3,0
28,96,221,1,0,2,0
29,34,40,0,0,5,0
30,56,416,0,0,3,0
31,31,629,1,0,5,0
32,8,610,0,1,6,0
33,4,496,0,0,7,0
34,55,306,0,0,7,0
35,37,182,0,0,2,0
36,76,302,0,0,7,0
37,99,140,0,0,5,0
38,53,515,1,1,6,0
39,3,428,0,0,4,0
40,88,476,0,0,8,0
41,4,554,0,0,5,0
42,19,272,0,0,5,0
43,72,3,0,0,1,0
44,24,599,0,1,9,0
45,92,403,0,0,10,0
46,39,600,0,0,8,0
47,29,50,0,0,2,0
48,2,689,0,0,3,0
49,54,545,0,0,7,0
50,54,24,2,1,1,0
51,57,384,0,0,3,0
52,55,589,1,1,1,0
53,30,455,0,1,3,0
54,31,64,0,0,3,0
55,63,120,0,0,7,0
56,12,362,2,1,1,0
57,18,662,0,0,3,0
58,26,498,0,0,7,0
59,8,385,0,0,5,0
60,29,207,0,0,4,0
61,75,406,0,1,7,0
62,0,51,0,0,7,0
63,19,104,2,1,5,0
64,4,277,0,0,4,0
65,90,449,0,0,5,0
66,1,658,0,0,3,0
67,29,471,0,0,7,0
68,88,452,1,0,7,0
69,58,62,0,0,2,0
70,68,559,0,0,6,0
71,34,673,0,1,5,0
72,40,627,1,1,4,0
73,12,300,0,0,3,1
74,9,545,1,1,8,0
75,87,671,0,0,8,0
76,5,373,0,0,7,0
77,87,363,0,0,7,0
78,56,416,0,0,3,0
79,18,126,0,0,1,0
80,95,324,0,0,7,0
81,48,350,1,0,7,0
82,3,34,2,1,7,0
83,70,50,1,0,2,0
84,79,161,0,0,2,0
85,69,100,0,0,7,0
86,84,38,0,0,5,0
87,30,40,0,0,6,0
88,72,586,1,0,6,0
89,37,446,0,0,7,0
90,44,212,1,0,2,0
91,32,376,0,0,5,0
92,0,343,0,0,8,0
93,43,93,0,0,6,0
94,59,437,0,0,5,0
95,68,410,0,0,4,0
96,35,54,0,1,1,0
97,94,203,0,0,5,0
98,15,280,0,0,7,0
99,56,514,0,0,6,0
100,17,559,0,0,7,0
101,18,571,0,0,2,0
102,46,241,0,0,3,0
103,40,598,1,1,9,0
104,27,6,1,0,6,0
105,95,545,2,1,3,0
106,19,566,0,0,7,0
107,27,294,0,0,6,0
108,25,158,2,0,1,0
109,74,497,0,0,9,0
110,85,355,0,0,5,0
111,37,229,0,0,6,0
112,65,376,0,0,4,0
113,13,127,0,1,5,0
114,63,300,0,0,7,0
115,83,435,0,0,7,0
116,69,476,3,1,2,0
117,87,498,0,0,1,0
118,37,436,0,1,1,0
119,51,23,0,0,6,0
120,72,52,0,0,4,0
121,10,274,0,0,5,0
122,42,478,0,0,8,0
123,10,141,0,0,4,0
124,51,321,0,0,8,0
125,21,471,1,0,3,0
126,31,692,0,0,8,0
127,61,359,0,0,8,0
128,37,43,1,1,5,0
129,74,338,0,0,7,0
130,46,620,0,0,2,0
131,4,229,0,1,7,0
132,73,438,0,0,2,0
133,47,307,0,0,6,0
134,13,469,0,0,7,0
135,36,621,0,0,8,0
136,47,611,0,1,6,0
137,49,307,0,0,8,1
138,94,678,0,0,8,0
139,65,10,0,0,3,0
140,59,68,0,0,3,0
141,96,116,1,0,6,0
142,28,564,0,0,7,0
143,12,50,0,0,6,0
144,57,630,0,0,5,0
145,10,497,2,1,4,0
146,4,358,0,0,7,0
147,49,292,0,0,4,0
148,3,257,0,0,2,0
149,64,315,0,0,1,0
150,0,365,0,0,7,0
151,20,603,0,0,6,0
152,91,177,0,0,8,0
153,9,426,0,0,2,0
154,98,122,0,0,0,0
155,83,230,0,0,6,0
156,27,225,1,0,3,0
157,63,307,1,0,4,0
158,46,241,0,0,1,0
159,84,126,0,0,5,0
160,58,71,0,0,7,0
161,78,353,0,0,8,0
162,4,71,0,0,6,0
163,17,152,0,0,5,0
164,77,88,1,0,4,0
165,56,657,0,0,5,0
166,79,562,2,1,4,0
167,90,39,0,0,7,0
168,96,7,0,0,2,0
169,44,212,1,0,2,0
170,81,51,0,0,5,0
171,77,52,0,0,6,0
172,21,276,0,0,2,0
173,16,160,0,0,6,0
174,80,16,0,0,6,0
175,45,573,0,0,9,0
176,63,115,0,0,5,0
177,34,333,0,0,5,0
178,14,469,0,0,2,0
179,13,493,0,0,7,0
180,52,660,1,0,6,0
181,98,410,0,0,3,0
182,93,397,0,0,8,0
183,38,498,0,0,6,0
184,24,184,0,0,8,0
185,80,49,0,0,3,0
186,82,285,1,0,2,0
187,20,530,0,0,2,0
188,81,92,1,1,8,0
189,50,2,1,0,5,0
190,60,204,0,0,1,0
191,63,260,0,0,6,0
192,54,606,3,1,4,0
193,72,349,0,0,7,0
194,5,598,1,1,6,0
195,88,205,1,0,9,0
196,50,414,0,0,6,0
197,99,23,0,0,6,0
198,17,659,1,1,8,0
199,11,457,0,0,4,0
200,18,105,0,0,1,0
201,70,634,0,0,8,0
202,21,526,0,0,7,0
203,66,423,0,0,1,0
204,79,91,0,0,8,0
205,2,50,0,0,8,0
206,81,228,2,0,3,0
207,24,304,0,0,7,0
208,48,594,0,0,6,0
209,93,81,0,0,3,0
210,56,229,0,0,1,0
211,3,78,0,0,3,0
212,44,542,0,0,8,0
213,38,661,0,0,6,0
214,46,462,0,0,8,0
215,84,614,0,0,8,0
216,27,569,0,0,8,0
217,72,692,0,0,2,0
218,66,135,0,0,8,0
219,30,468,0,1,7,0
220,2,542,1,0,7,0
221,65,412,0,0,8,0
222,37,76,0,0,3,0
223,89,465,0,0,5,0
224,49,204,0,0,6,0
225,46,209,0,0,7,0
226,32,270,0,0,3,0
227,54,187,0,0,7,0
228,98,246,1,0,3,0
229,97,555,0,0,3,0
230,75,335,0,0,9,0
231,8,215,1,1,2,0
232,37,683,0,0,7,0
233,31,26,0,0,6,0
234,40,407,3,1,6,0
235,74,538,0,0,5,0
236,90,669,0,0,3,0
237,57,610,0,0,6,0
238,59,288,0,0,8,0
239,52,247,0,0,6,0
240,5,452,4,1,2,0
241,92,647,0,0,6,0
242,77,671,0,0,8,0
243,35,626,0,0,6,0
244,48,623,1,0,6,0
245,97,617,0,0,3,0
246,95,392,0,0,5,0
247,24,205,0,0,8,0
248,60,629,1,1,7,0
249,46,405,0,0,5,0
250,85,14,0,0,5,0
251,31,585,0,0,9,0
252,9,513,0,1,8,0
253,30,474,0,0,7,0
254,47,5,1,0,1,0
255,70,624,1,1,7,0
256,13,377,0,0,1,0
257,11,270,0,0,6,0
258,31,647,0,1,7,0
259,15,103,0,0,5,1
260,2,147,0,0,5,0
261,55,86,0,0,6,0
262,38,510,0,0,7,0
263,86,288,0,0,4,0
264,56,530,0,1,5,0
265,29,62,0,0,1,0
266,30,455,1,1,1,0
267,64,436,0,0,6,0
268,46,505,0,0,7,0
269,84,614,0,0,8,0
270,20,669,0,0,7,0
271,74,122,0,0,2,0
272,18,75,0,0,5,0
273,75,354,0,0,7,0
274,17,518,0,0,3,0
275,88,539,0,0,5,0
276,19,50,0,0,3,0
277,62,383,0,0,8,0
278,11,362,1,0,7,0
279,74,186,0,0,7,0
280,32,608,1,0,4,0
281,76,167,0,0,9,0
282,6,476,0,0,6,0
283,62,677,2,0,8,0
284,20,481,0,0,7,0
285,43,534,0,0,8,0
286,45,535,0,0,1,0
287,34,106,1,0,5,0
288,53,76,0,0,5,0
289,44,262,0,0,6,0
290,89,122,0,0,4,0
