cust_id,web,store,catalogue
1,8,4,10
2,1,2,1
3,8,10,2
4,2,4,0
5,5,6,3
6,6,10,4
7,7,7,3
8,4,4,0
9,3,2,0
10,1,0,0
11,2,3,0
12,3,8,4
13,6,5,1
14,1,3,0
15,7,12,6
16,3,3,0
17,4,6,1
18,11,9,4
19,2,3,1
20,4,5,2
21,0,0,28
22,2,9,3
23,6,9,2
24,7,5,1
25,2,3,1
26,5,4,1
27,2,4,1
28,6,10,9
29,3,3,0
30,2,3,5
31,2,4,1
32,4,6,1
33,3,9,5
34,2,3,0
35,5,12,6
36,3,2,1
37,1,3,1
38,7,5,10
39,8,5,6
40,2,3,0
41,0,3,0
42,2,3,0
43,2,9,4
44,3,3,1
45,2,2,0
46,5,12,2
47,4,10,2
48,6,13,9
49,2,3,0
50,4,7,9
51,4,10,2
52,3,13,10
53,5,10,5
54,1,4,0
55,8,6,2
56,3,11,6
57,4,12,2
58,8,10,2
59,7,8,3
60,7,4,4
61,1,2,1
62,1,2,0
63,11,10,10
64,5,10,2
65,2,5,5
66,4,6,8
67,10,13,3
68,9,8,2
69,2,4,1
70,1,2,0
71,7,5,6
72,5,9,8
73,0,3,0
74,10,8,1
75,3,4,1
76,1,2,0
77,3,3,0
78,2,3,5
79,3,13,10
80,1,4,0
81,3,4,1
82,6,6,1
83,5,7,6
84,2,5,2
85,1,3,0
86,3,3,1
87,2,3,0
88,7,6,4
89,2,3,0
90,5,12,7
91,5,7,2
92,2,3,0
93,2,3,0
94,9,11,5
95,6,6,3
96,3,5,11
97,1,3,0
98,4,4,1
99,6,12,4
100,3,3,1
101,5,4,4
102,6,11,6
103,7,5,4
104,8,8,1
105,6,11,7
106,6,6,4
107,2,3,1
108,4,5,6
109,9,5,1
110,1,3,1
111,2,3,0
112,6,10,2
113,2,3,1
114,1,3,0
115,1,3,0
116,6,13,8
117,3,7,4
118,3,6,6
119,2,4,0
120,6,10,3
121,5,5,4
122,11,6,1
123,7,9,2
124,5,5,1
125,4,13,5
126,1,3,0
