cust_id,education,year_birth,num_children,income,Cluster
1,Postgraduate,1957,0,58138.0,0
2,Postgraduate,1954,2,46344.0,1
3,Postgraduate,1965,0,71613.0,0
4,Postgraduate,1984,1,26646.0,1
5,PhD,1981,1,58293.0,2
6,Postgraduate,1967,1,62513.0,2
7,Postgraduate,1971,1,55635.0,2
8,PhD,1985,1,33454.0,1
9,PhD,1974,1,30351.0,1
10,PhD,1950,2,5648.0,1
11,Undergraduate,1976,0,7500.0,1
12,Postgraduate,1959,0,63033.0,0
13,Postgraduate,1952,2,59354.0,2
14,Postgraduate,1987,0,17323.0,1
15,PhD,1946,0,82800.0,0
16,Postgraduate,1980,2,41850.0,1
17,Postgraduate,1946,0,37760.0,1
18,Postgraduate,1949,1,76995.0,2
19,Undergraduate,1985,1,33812.0,1
20,Postgraduate,1982,0,37040.0,1
21,Postgraduate,1979,1,2447.0,0
22,PhD,1949,1,58607.0,2
23,PhD,1954,1,65324.0,2
24,Postgraduate,1951,1,40689.0,2
25,Postgraduate,1969,0,18589.0,1
26,Postgraduate,1976,2,53359.0,1
27,Postgraduate,1989,1,38360.0,1
28,PhD,1965,0,84618.0,0
29,Postgraduate,1989,0,10979.0,1
30,Postgraduate,1963,0,38620.0,1
31,Postgraduate,1970,1,40548.0,1
32,PhD,1952,2,46610.0,1
33,Postgraduate,1946,0,68657.0,0
34,Postgraduate,1951,2,49389.0,1
35,PhD,1970,1,67353.0,2
36,Undergraduate,1976,1,23718.0,1
37,Postgraduate,1973,1,42429.0,1
38,PhD,1943,0,48948.0,0
39,Postgraduate,1980,1,80011.0,0
40,Postgraduate,1985,1,20559.0,1
41,Postgraduate,1957,1,21994.0,1
42,Postgraduate,1975,1,7500.0,1
43,Postgraduate,1976,0,79941.0,0
44,Undergraduate,1996,0,7500.0,1
45,Postgraduate,1968,1,41728.0,1
46,PhD,1954,2,72550.0,2
47,Postgraduate,1957,1,65486.0,2
48,Postgraduate,1964,0,79143.0,0
49,Postgraduate,1977,1,35790.0,1
50,Postgraduate,1977,0,82582.0,0
51,Postgraduate,1978,2,66373.0,2
52,Postgraduate,1955,0,82384.0,0
53,Postgraduate,1966,0,70287.0,0
54,Postgraduate,1988,1,27938.0,1
55,PhD,1968,1,55954.0,2
56,Postgraduate,1982,0,75777.0,0
57,Postgraduate,1975,2,66653.0,2
58,Postgraduate,1952,1,61823.0,2
59,PhD,1951,1,67680.0,2
60,Postgraduate,1948,0,70666.0,0
61,Postgraduate,1971,1,25721.0,1
62,Postgraduate,1967,2,32474.0,1
63,Undergraduate,1979,1,88194.0,2
64,Postgraduate,1958,1,69096.0,2
65,Postgraduate,1970,3,74854.0,2
66,Postgraduate,1954,0,66991.0,0
67,Postgraduate,1959,1,65031.0,2
68,PhD,1975,2,60631.0,2
69,Postgraduate,1952,0,28332.0,1
70,Postgraduate,1977,1,40246.0,1
71,Postgraduate,1972,0,75251.0,0
72,Postgraduate,1976,0,75825.0,0
73,Undergraduate,1976,0,26326.0,1
74,Postgraduate,1965,0,56046.0,2
75,Postgraduate,1985,1,29760.0,1
76,Postgraduate,1969,1,26304.0,1
77,Undergraduate,1973,1,23559.0,1
78,Postgraduate,1963,0,38620.0,1
79,Postgraduate,1987,0,81361.0,0
80,Postgraduate,1960,2,29440.0,1
81,Postgraduate,1970,2,36138.0,1
82,Postgraduate,1957,1,50388.0,2
83,Postgraduate,1973,0,79593.0,0
84,Postgraduate,1967,1,54178.0,1
85,Postgraduate,1972,1,42394.0,1
86,PhD,1970,1,23626.0,1
87,Postgraduate,1983,1,30096.0,1
88,Postgraduate,1960,1,47916.0,2
89,Postgraduate,1972,2,51813.0,1
90,Undergraduate,1951,0,78497.0,0
91,PhD,1983,0,50150.0,0
92,Undergraduate,1960,1,47823.0,1
93,PhD,1959,1,34554.0,1
94,Postgraduate,1979,1,85693.0,0
95,PhD,1945,0,65846.0,0
96,Postgraduate,1959,0,87195.0,0
97,Undergraduate,1979,1,24594.0,1
98,Postgraduate,1964,2,49096.0,1
99,Postgraduate,1969,2,52413.0,2
100,Postgraduate,1978,1,38557.0,1
101,Postgraduate,1960,0,89058.0,0
102,Postgraduate,1979,1,77298.0,2
103,PhD,1991,0,68126.0,0
104,Postgraduate,1963,1,57288.0,2
105,Postgraduate,1991,0,86037.0,0
106,PhD,1980,1,43974.0,2
107,Postgraduate,1962,2,50785.0,1
108,Postgraduate,1970,0,90765.0,0
109,Undergraduate,1978,1,36550.0,2
110,Undergraduate,1967,2,30753.0,1
111,Postgraduate,1969,1,21918.0,1
112,Postgraduate,1953,1,56129.0,2
113,Postgraduate,1967,1,32557.0,1
114,Postgraduate,1985,2,19510.0,1
115,Postgraduate,1976,1,30992.0,1
116,Postgraduate,1983,0,101970.0,0
117,Undergraduate,1965,0,71488.0,0
118,Postgraduate,1984,0,79607.0,0
