cust_id,deals,fruits,wines,sweets,meat,gold,fish
1,3,88,635,88,546,88,172
2,2,1,11,1,6,6,2
3,1,49,426,21,127,42,111
4,2,4,11,3,20,5,10
5,5,43,173,27,118,15,46
6,2,42,520,42,98,14,0
7,4,65,235,49,164,27,50
8,2,10,76,1,56,23,3
9,1,0,14,3,24,2,3
10,1,0,28,1,6,13,1
11,1,16,6,1,11,16,11
12,1,61,194,112,480,30,225
13,3,2,233,5,53,14,3
14,1,14,3,1,17,5,6
15,1,22,1006,68,115,45,59
16,3,5,53,13,19,4,2
17,2,5,84,12,38,28,150
18,2,80,1012,16,498,176,0
19,2,17,4,24,19,39,30
20,1,2,86,38,73,48,69
21,15,1,1,1,1725,1,1
22,3,0,867,0,86,19,0
23,3,0,384,32,102,5,21
24,7,3,270,6,27,99,39
25,2,4,6,12,25,13,15
26,4,4,173,6,30,41,3
27,2,2,36,21,42,10,20
28,1,100,684,66,801,0,21
29,2,4,8,2,10,4,2
30,1,17,112,22,44,89,34
31,2,0,110,0,5,3,2
32,6,12,96,22,96,43,33
33,1,34,482,68,471,22,119
34,1,0,40,1,19,3,2
35,5,17,702,8,151,35,0
36,3,3,6,7,14,36,15
37,2,0,55,0,6,4,2
38,2,8,437,49,206,42,160
39,2,76,421,178,536,102,82
40,2,1,13,0,29,7,3
41,1,0,9,1,6,3,3
42,3,1,3,2,10,12,3
43,1,164,123,30,266,174,227
44,3,18,3,22,14,50,15
45,1,6,13,5,15,13,3
46,9,50,826,38,317,38,50
47,1,19,245,67,125,14,37
48,1,37,650,167,780,32,27
49,2,6,12,1,20,3,30
50,1,120,510,40,550,241,156
51,7,9,328,24,124,109,12
52,1,51,984,120,432,190,180
53,1,35,295,120,482,40,121
54,1,0,13,1,8,5,2
55,3,0,447,0,28,43,0
56,1,26,712,13,538,80,69
57,4,18,452,18,102,6,16
58,4,7,523,14,134,169,37
59,1,0,546,6,48,6,0
60,1,40,398,122,367,30,119
61,1,3,1,6,6,15,3
62,1,0,10,0,1,0,0
63,1,14,688,24,309,38,201
64,1,49,247,82,159,109,7
65,7,59,856,29,487,73,58
66,3,36,496,60,460,12,189
67,4,107,258,37,291,86,84
68,5,6,565,6,65,19,0
69,1,10,14,15,13,9,4
70,1,1,2,1,6,1,2
71,1,111,721,18,925,18,97
72,0,105,1032,105,779,51,137
73,1,0,1,3,5,9,0
74,2,0,577,0,64,51,0
75,4,4,64,5,68,17,7
76,1,1,4,0,5,4,2
77,3,5,25,0,19,23,7
78,1,17,112,22,44,89,34
79,1,23,163,65,424,76,27
80,2,8,17,4,14,3,10
81,5,0,130,0,16,5,0
82,4,6,292,3,37,34,0
83,1,60,350,133,568,145,110
84,1,9,135,0,39,7,4
85,1,2,15,1,10,4,0
86,3,2,27,0,14,0,0
87,1,3,5,5,11,9,12
88,5,0,505,0,26,75,0
89,2,2,51,1,7,2,0
90,1,26,207,0,447,223,75
91,2,46,135,61,92,11,65
92,2,1,53,1,5,10,2
93,2,1,41,0,6,5,2
94,2,172,386,132,183,111,185
95,1,81,562,40,276,81,80
96,1,76,217,26,690,38,50
97,1,3,1,0,6,9,10
98,4,1,144,1,32,7,2
99,4,106,295,98,271,65,75
100,2,3,76,4,31,27,4
101,1,194,454,22,106,43,31
102,1,115,425,35,292,79,23
103,1,17,1332,51,311,86,23
104,3,0,527,0,21,60,0
105,1,44,490,20,125,22,29
106,5,0,378,0,101,72,0
107,2,1,64,1,21,27,0
108,0,99,547,82,812,33,151
109,5,90,47,103,94,120,123
110,2,5,12,9,25,30,0
111,2,6,1,5,7,3,11
112,4,48,320,72,133,48,39
113,3,3,34,4,29,10,0
114,2,0,9,4,7,7,3
115,1,0,17,3,14,2,7
116,0,27,722,72,102,168,44
117,2,33,162,28,124,172,40
118,1,133,450,0,951,216,173
119,2,0,70,0,16,4,0
120,4,19,492,12,110,12,16
121,5,58,120,89,73,58,65
122,5,5,534,5,47,41,0
123,1,106,236,41,189,130,23
124,5,0,220,0,33,23,3
125,1,14,796,44,590,0,38
126,2,1,0,6,3,9,10
127,3,1,53,0,34,16,2
128,2,0,15,2,8,20,4
129,2,1,17,1,12,4,3
130,1,61,962,61,921,20,52
131,2,0,738,20,232,50,13
132,1,28,399,40,756,126,36
133,3,16,614,33,132,33,43
134,3,34,32,16,41,116,73
135,3,16,598,41,141,49,32
136,1,1,2,11,18,16,20
137,1,1,6,1,10,4,0
138,7,3,73,1,90,32,12
139,1,16,42,20,29,8,12
140,1,21,295,13,78,13,39
141,4,17,346,13,48,13,23
142,4,20,233,20,57,91,8
143,4,7,5,14,24,20,19
144,2,0,888,0,57,76,0
145,1,26,997,13,269,42,34
146,3,6,212,12,69,3,4
147,1,1,8,0,7,0,2
148,1,11,42,28,57,14,10
149,1,11,536,91,387,57,149
150,1,0,5,0,3,5,0
151,2,16,1349,16,249,33,43
152,4,3,53,4,49,5,7
153,1,12,1001,12,240,12,16
154,15,2,20,2,1582,1,1
155,3,1,18,3,32,28,6
156,1,16,125,21,98,27,134
157,1,5,212,0,33,2,7
158,1,162,277,76,305,124,173
159,3,10,15,17,19,20,8
160,2,3,7,1,10,7,8
161,2,4,12,8,6,16,11
162,1,7,85,3,24,27,2
163,2,0,81,0,6,6,0
164,1,0,59,0,12,48,0
165,1,71,1149,71,449,26,69
166,1,66,847,89,119,111,86
167,2,0,29,0,14,2,0
168,1,0,2,0,5,1,2
169,1,26,207,0,447,223,75
170,1,3,152,5,22,7,2
171,3,11,12,12,10,9,3
172,1,26,620,17,195,141,34
173,1,1,47,0,6,12,0
174,1,9,1,14,7,10,2
175,1,1,10,4,18,7,10
176,2,0,35,0,2,2,0
177,2,0,356,9,107,117,19
178,1,30,783,76,537,15,140
179,2,1,42,0,18,4,3
180,1,4,1,0,10,36,29
181,1,22,466,113,432,102,147
182,2,3,23,19,21,22,3
183,4,6,235,9,45,12,8
184,2,0,10,1,10,7,3
185,1,16,656,16,106,8,32
186,1,17,519,173,813,51,27
187,1,189,344,33,482,172,50
188,6,1,96,1,79,79,7
189,3,4,448,4,34,39,6
190,1,138,265,23,553,92,224
191,3,43,587,87,337,54,42
192,0,29,763,176,138,58,76
193,2,0,22,0,13,3,0
194,1,4,6,2,1,15,7
195,1,6,7,6,13,14,7
196,6,18,81,13,113,21,47
197,1,0,54,0,7,4,0
198,5,48,1170,32,320,192,42
199,5,24,72,4,68,8,65
200,1,22,613,102,319,12,33
201,8,0,224,0,30,10,0
202,10,0,410,9,59,44,19
203,1,10,239,87,554,54,254
204,6,7,171,19,171,89,25
205,1,0,12,0,4,1,0
206,1,16,1076,48,417,16,42
207,2,4,182,0,33,66,0
208,2,32,824,32,162,43,42
209,1,11,30,1,25,18,29
210,1,10,377,30,540,10,80
211,2,7,520,0,154,14,19
212,4,1,155,1,25,3,0
213,5,23,897,11,207,92,15
214,4,0,131,1,16,39,2
215,2,7,297,11,79,182,0
216,3,20,787,0,204,92,0
217,1,86,792,51,740,17,67
218,1,1,4,0,9,0,3
219,9,7,231,15,137,39,4
220,1,76,983,138,184,27,180
221,1,1,3,3,8,3,4
222,1,4,0,0,5,4,6
223,3,21,562,10,464,32,28
224,2,9,5,8,20,21,6
225,1,0,18,0,4,1,0
226,1,5,415,35,124,11,15
227,4,3,5,7,10,20,12
228,1,61,901,163,757,20,186
229,2,114,382,124,276,38,75
230,1,1,14,1,7,1,2
231,1,153,559,13,503,181,218
232,7,0,789,28,133,152,0
233,2,0,11,0,5,1,0
234,2,16,1218,0,272,80,104
235,2,64,925,12,179,77,133
236,1,134,864,38,768,172,150
237,4,28,960,70,183,70,220
238,2,3,16,1,25,13,6
239,2,3,3,2,7,11,0
240,1,148,168,172,444,148,32
241,2,47,45,20,52,25,21
242,5,28,650,42,353,30,45
243,2,0,24,0,8,1,0
244,3,21,918,10,118,21,13
245,4,33,138,24,87,12,28
246,4,4,12,6,2,10,10
247,1,0,11,0,4,2,0
248,2,2,1,3,8,13,4
249,3,41,554,0,215,24,11
250,4,2,167,13,62,7,24
251,1,0,9,1,6,5,4
252,6,2,177,2,71,20,3
253,4,4,38,2,22,20,4
254,1,84,483,84,398,241,205
255,4,2,77,1,35,69,0
256,1,74,182,149,298,116,162
257,2,7,10,2,19,21,8
258,2,44,778,73,499,146,95
259,3,7,16,8,23,6,0
260,2,0,167,2,43,13,6
261,4,2,13,7,14,4,8
262,3,6,33,7,40,10,3
263,2,7,625,22,99,7,10
264,2,162,216,92,224,162,101
265,1,129,68,22,396,15,188
266,1,0,196,130,512,54,33
267,1,15,635,7,100,131,20
268,3,19,4,25,9,17,28
269,2,7,297,11,79,182,0
270,2,5,84,12,38,28,150
271,1,7,204,15,149,66,20
272,2,0,26,0,8,3,0
273,1,6,15,5,20,20,4
274,1,98,304,74,230,74,150
275,13,28,285,114,242,135,55
276,1,183,395,141,565,28,166
277,3,3,248,3,81,51,4
278,1,6,20,9,5,12,0
279,3,0,39,8,56,14,20
280,1,129,777,21,573,203,216
281,3,3,8,1,22,13,21
282,1,1,9,4,3,8,0
283,3,0,1241,13,80,40,0
284,1,4,6,3,7,8,4
285,1,4,65,4,16,11,0
286,1,15,395,54,263,38,60
287,5,0,801,0,80,35,0
288,4,0,36,2,12,10,2
289,1,14,513,0,154,28,19
290,1,0,37,3,46,0,4
291,3,15,80,13,93,52,20
292,3,1,14,3,21,25,2
293,1,147,525,147,112,63,219
294,1,26,1,23,25,15,17
295,1,11,675,45,400,11,15
296,1,0,509,0,27,10,0
297,1,2,154,4,46,15,20
298,4,5,3,12,14,17,2
299,2,0,25,0,8,2,2
300,1,44,768,44,561,14,77
301,6,0,185,2,28,17,3
302,2,0,24,0,7,1,0
303,2,4,44,0,21,27,6
304,2,64,91,3,128,50,65
305,2,0,11,1,7,6,3
306,3,5,412,29,119,77,38
307,1,3,3,2,7,9,6
308,1,0,16,0,3,1,0
309,5,60,731,12,353,73,78
310,6,17,424,23,118,41,7
311,1,0,792,45,275,126,45
312,3,2,21,2,28,9,3
313,1,1,22,1,11,2,0
314,1,0,33,0,5,0,0
315,4,7,68,5,59,11,10
316,1,1,9,0,6,4,3
317,1,2,40,0,15,6,8
318,2,11,909,0,218,23,0
319,1,1,23,2,13,18,2
320,2,2,11,0,9,8,3
321,1,46,317,46,247,139,151
322,1,153,797,97,293,30,72
323,1,2,10,2,16,21,11
324,1,61,856,25,570,122,40
325,1,19,456,118,832,38,75
326,1,32,37,3,38,18,11
327,3,0,1103,0,45,34,0
328,2,14,378,14,68,14,19
329,1,6,1,1,7,3,0
330,1,34,204,153,204,173,172
331,2,0,30,0,9,3,0
332,1,104,189,189,379,218,111
333,3,0,15,3,12,7,7
334,1,0,9,0,3,4,0
335,4,33,495,33,255,8,11
336,2,80,656,107,455,93,52
337,3,20,452,30,514,0,13
338,1,91,546,0,410,22,119
339,5,0,1048,0,217,12,0
340,2,2,22,1,14,10,0
341,1,0,78,0,11,10,0
342,1,64,561,128,785,48,84
343,1,17,629,0,177,8,69
344,2,15,269,19,69,38,15
345,1,163,736,163,818,61,212
346,3,0,512,0,83,41,0
347,3,3,19,8,10,6,11
348,1,0,9,1,6,5,4
349,7,8,247,8,160,65,6
350,2,0,404,27,92,142,28
351,1,0,333,42,815,29,129
352,2,3,2,11,20,9,6
353,1,33,833,133,549,233,151
354,2,0,789,9,142,38,12
355,1,4,10,6,7,3,0
356,6,4,159,2,45,38,6
357,1,1,7,1,6,11,3
358,4,12,977,12,253,101,16
359,3,4,38,3,22,3,3
360,4,0,57,0,27,36,0
361,1,9,3,2,15,39,13
362,1,4,10,4,14,1,4
363,2,24,1043,24,97,157,32
364,1,9,3,12,13,12,2
365,1,0,11,0,5,1,0
366,1,6,3,2,5,6,0
367,3,12,43,40,96,55,78
368,7,3,73,1,90,32,12
369,1,0,12,0,1,6,0
370,3,7,4,4,7,13,6
371,3,11,314,3,53,107,4
372,4,50,571,50,142,159,33
373,1,0,70,8,11,23,2
374,3,21,866,21,151,86,28
375,0,134,594,134,786,57,33
376,2,4,140,13,61,4,0
377,1,152,375,91,335,81,93
378,1,9,102,9,63,24,2
379,3,35,554,7,113,78,0
380,1,0,919,30,505,45,99
381,4,1,96,3,42,32,12
382,2,2,5,2,16,19,3
383,1,0,2,6,6,5,8
384,4,4,6,36,9,35,6
385,4,1,23,8,25,7,0
386,1,105,610,42,125,21,137
387,5,5,67,8,61,19,3
388,1,36,65,20,74,110,38
389,9,0,416,0,26,4,0
390,1,0,23,2,11,2,3
391,3,3,19,9,26,3,10
392,3,7,155,7,80,10,13
393,1,0,14,3,24,2,3
394,3,9,370,9,92,4,6
395,2,22,4,7,11,32,3
396,4,53,407,150,221,26,58
397,3,0,1200,29,204,14,38
398,3,44,85,78,54,6,102
399,2,34,583,22,309,125,0
400,1,0,483,0,591,12,156
401,3,5,2,6,9,28,28
402,1,26,966,26,282,26,52
403,1,114,822,137,108,114,179
404,9,0,604,0,100,28,19
405,2,3,19,1,19,3,3
406,1,3,5,5,11,9,12
407,1,2,2,1,2,1,2
408,1,68,1076,91,103,68,29
409,0,42,1285,0,716,21,55
410,1,0,10,0,7,1,2
411,1,137,551,103,792,33,179
412,2,0,800,34,297,57,0
413,2,2,2,6,11,12,10
414,2,0,378,172,189,172,97
415,1,16,1248,16,349,16,43
416,5,0,235,4,235,191,19
417,15,47,515,95,181,95,149
418,1,66,438,38,400,114,12
419,2,0,25,3,22,5,2
420,1,0,31,0,7,6,2
421,3,35,357,28,271,14,28
422,2,4,400,0,35,22,6
423,3,0,99,1,15,5,2
424,2,11,1,6,5,9,4
425,1,4,5,0,13,4,8
426,2,28,77,0,31,4,16
427,1,1,3,3,2,1,4
428,1,4,10,4,14,1,4
429,1,6,0,6,3,12,7
430,1,0,0,12,1,5,2
431,2,14,76,5,74,10,13
432,1,190,398,156,537,37,61
433,2,7,14,0,11,5,11
434,2,7,208,66,82,35,30
435,5,16,430,24,322,33,43
436,3,38,656,47,161,37,62
437,1,2,14,2,30,3,8
438,2,70,141,19,106,23,72
439,3,19,507,47,364,9,25
440,7,24,164,3,103,42,12
441,1,24,606,194,974,64,197
